1																		
HoleID	Northing	Easting	Collar Level	Label One	Label Two	Label Three	Diameter	Hole Length	Bench Height	Bearing	Floor Level	Toe Level	Angle	Subdrill	Shape	Red	Green	Blue
37	10013.0	10030.0	100.0	C4	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
38	10013.0	10037.5	100.0	C5	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
39	10013.0	10045.0	100.0	C6	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
40	10013.0	10052.5	100.0	C7	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
41	10013.0	10060.0	100.0	C8	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
42	10013.0	10067.5	100.0	C9	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
43	10013.0	10075.0	100.0	C10	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
44	10013.0	10082.5	100.0	C11	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
45	10013.0	10090.0	100.0	C12	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
46	10013.0	10097.5	100.0	C13	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
47	10013.0	10105.0	100.0	C14	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
48	10013.0	10112.5	100.0	C15	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
49	10019.5	10003.75	100.0	D0	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
50	10019.5	10011.25	100.0	D1	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
51	10019.5	10018.75	100.0	D2	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
52	10019.5	10026.25	100.0	D3	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
53	10019.5	10033.75	100.0	D4	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
54	10019.5	10041.25	100.0	D5	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
55	10019.5	10048.75	100.0	D6	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
56	10019.5	10056.25	100.0	D7	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
57	10019.5	10063.75	100.0	D8	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
58	10019.5	10071.25	100.0	D9	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
59	10019.5	10078.75	100.0	D10	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
60	10019.5	10086.25	100.0	D11	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
61	10019.5	10093.75	100.0	D12	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
62	10019.5	10101.25	100.0	D13	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
63	10019.5	10108.75	100.0	D14	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
64	10019.5	10116.25	100.0	D15	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
65	10026.0	10000.0	100.0	E0	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
66	10026.0	10007.5	100.0	E1	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
67	10026.0	10015.0	100.0	E2	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
68	10026.0	10022.5	100.0	E3	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
69	10026.0	10030.0	100.0	E4	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
70	10026.0	10037.5	100.0	E5	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
71	10026.0	10045.0	100.0	E6	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
72	10026.0	10052.5	100.0	E7	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
73	10026.0	10060.0	100.0	E8	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
74	10026.0	10067.5	100.0	E9	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
75	10026.0	10075.0	100.0	E10	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
76	10026.0	10082.5	100.0	E11	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
77	10026.0	10090.0	100.0	E12	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
78	10026.0	10097.5	100.0	E13	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
79	10026.0	10105.0	100.0	E14	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
80	10026.0	10112.5	100.0	E15	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
81	10032.5	10003.75	100.0	F0	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
82	10032.5	10011.25	100.0	F1	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
83	10032.5	10018.75	100.0	F2	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
84	10032.5	10026.25	100.0	F3	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
85	10032.5	10033.75	100.0	F4	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
86	10032.5	10041.25	100.0	F5	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
87	10032.5	10048.75	100.0	F6	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
88	10032.5	10056.25	100.0	F7	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
89	10032.5	10063.75	100.0	F8	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
90	10032.5	10071.25	100.0	F9	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
91	10032.5	10078.75	100.0	F10	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
92	10032.5	10086.25	100.0	F11	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
93	10032.5	10093.75	100.0	F12	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
94	10032.5	10101.25	100.0	F13	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
95	10032.5	10108.75	100.0	F14	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
96	10032.5	10116.25	100.0	F15	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
97	10039.0	10000.0	100.0	G0	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
98	10039.0	10007.5	100.0	G1	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
99	10039.0	10015.0	100.0	G2	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
100	10039.0	10022.5	100.0	G3	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
101	10039.0	10030.0	100.0	G4	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
102	10039.0	10037.5	100.0	G5	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
103	10039.0	10045.0	100.0	G6	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
104	10039.0	10052.5	100.0	G7	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
105	10039.0	10060.0	100.0	G8	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
106	10039.0	10067.5	100.0	G9	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
107	10039.0	10075.0	100.0	G10	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
108	10039.0	10082.5	100.0	G11	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
109	10039.0	10090.0	100.0	G12	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
110	10039.0	10097.5	100.0	G13	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
111	10039.0	10105.0	100.0	G14	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
112	10039.0	10112.5	100.0	G15	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
113	10045.5	10003.75	100.0	H0	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
114	10045.5	10011.25	100.0	H1	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
115	10045.5	10018.75	100.0	H2	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
116	10045.5	10026.25	100.0	H3	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
117	10045.5	10033.75	100.0	H4	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
118	10045.5	10041.25	100.0	H5	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
119	10045.5	10048.75	100.0	H6	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
120	10045.5	10056.25	100.0	H7	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
121	10045.5	10063.75	100.0	H8	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
122	10045.5	10071.25	100.0	H9	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
123	10045.5	10078.75	100.0	H10	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
124	10045.5	10086.25	100.0	H11	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
125	10045.5	10093.75	100.0	H12	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
126	10045.5	10101.25	100.0	H13	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
127	10045.5	10108.75	100.0	H14	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
128	10045.5	10116.25	100.0	H15	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
129	10052.0	10000.0	100.0	I0	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
130	10052.0	10007.5	100.0	I1	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
131	10052.0	10015.0	100.0	I2	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
132	10052.0	10022.5	100.0	I3	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
133	10052.0	10030.0	100.0	I4	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
134	10052.0	10037.5	100.0	I5	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
135	10052.0	10045.0	100.0	I6	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
136	10052.0	10052.5	100.0	I7	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
137	10052.0	10060.0	100.0	I8	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
138	10052.0	10067.5	100.0	I9	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
139	10052.0	10075.0	100.0	I10	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
140	10052.0	10082.5	100.0	I11	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
141	10052.0	10090.0	100.0	I12	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
142	10052.0	10097.5	100.0	I13	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
143	10052.0	10105.0	100.0	I14	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
144	10052.0	10112.5	100.0	I15	 	 	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
145	10058.5	10003.75	100.0	J0	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
146	10058.5	10011.25	100.0	J1	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
147	10058.5	10018.75	100.0	J2	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
148	10058.5	10026.25	100.0	J3	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
149	10058.5	10033.75	100.0	J4	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
150	10058.5	10041.25	100.0	J5	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
151	10058.5	10048.75	100.0	J6	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
152	10058.5	10056.25	100.0	J7	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
153	10058.5	10063.75	100.0	J8	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
154	10058.5	10071.25	100.0	J9	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
155	10058.5	10078.75	100.0	J10	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
156	10058.5	10086.25	100.0	J11	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
157	10058.5	10093.75	100.0	J12	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
158	10058.5	10101.25	100.0	J13	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
159	10058.5	10108.75	100.0	J14	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
160	10058.5	10116.25	100.0	J15	L2 	L3	251.0	13.799999999999997	12.0	180.0	88.0	86.2	90.0	1.8	8	255	255	255
